timestamp_utc,equity,buy_and_hold
2026-06-17 13:30:00+00:00,500.0,500.33265560299316
2026-06-17 14:30:00+00:00,500.0,499.6656509621024
2026-06-17 15:30:00+00:00,500.0,500.47424011326314
2026-06-17 16:30:00+00:00,500.0,500.00473368350595
2026-06-17 17:30:00+00:00,500.0,496.45661419554483
2026-06-17 18:30:00+00:00,500.0,493.87873433265065
2026-06-17 19:30:00+00:00,500.0,492.5617145072775
2026-06-18 13:30:00+00:00,500.0,498.16495234643975
2026-06-18 14:30:00+00:00,500.0,498.85678498168704
2026-06-18 15:30:00+00:00,500.0,500.0992676472065
2026-06-18 16:30:00+00:00,500.0,500.5518025734628
2026-06-18 17:30:00+00:00,500.0,500.31164211025896
2026-06-18 18:30:00+00:00,500.0,500.1438897152499
2026-06-18 19:30:00+00:00,500.0,500.95800312933625
2026-06-22 13:30:00+00:00,500.0,502.1001301225035
2026-06-22 14:30:00+00:00,500.0,500.9954512528822
2026-06-22 15:30:00+00:00,500.0,500.94865327522496
2026-06-22 16:30:00+00:00,500.0,501.03861575180156
2026-06-22 17:30:00+00:00,500.0,502.0302583136845
2026-06-22 18:30:00+00:00,500.0,500.7147029132218
2026-06-22 19:30:00+00:00,500.0,501.61145658559803
2026-06-23 13:30:00+00:00,500.0,496.0427353752102
2026-06-23 14:30:00+00:00,500.0,492.95159324739495
2026-06-23 15:30:00+00:00,500.0,495.39857689327744
2026-06-23 16:30:00+00:00,500.0,495.3296534116171
2026-06-23 17:30:00+00:00,500.0,493.20168958165215
2026-06-23 18:30:00+00:00,500.0,493.0818360424736
2026-06-23 19:30:00+00:00,500.0,492.0327571756316
2026-06-24 13:30:00+00:00,500.0,494.2006787215936
2026-06-24 14:30:00+00:00,500.0,496.68359105702314
2026-06-24 15:30:00+00:00,500.0,495.9290612582189
2026-06-24 16:30:00+00:00,500.0,491.06347289513815
2026-06-24 17:30:00+00:00,500.0,492.78698227194843
2026-06-24 18:30:00+00:00,500.0,490.4759082516115
2026-06-24 19:30:00+00:00,500.0,492.0730077275588
2026-06-25 13:30:00+00:00,500.0,494.9098514806785
2026-06-25 14:30:00+00:00,500.0,493.9651221196423
2026-06-25 15:30:00+00:00,500.0,495.0832396073811
2026-06-25 16:30:00+00:00,500.0,494.44225224668565
2026-06-25 17:30:00+00:00,500.0,495.82162897172867
2026-06-25 18:30:00+00:00,500.0,493.2313157738762
2026-06-25 19:30:00+00:00,500.0,494.5868716100239
2026-06-26 13:30:00+00:00,500.0,494.12403152592344
2026-06-26 14:30:00+00:00,500.0,494.2241909349342
2026-06-26 15:30:00+00:00,500.0,493.18803203128215
2026-06-26 16:30:00+00:00,500.0,493.87618844072017
2026-06-26 17:30:00+00:00,500.0,492.03837823910976
2026-06-26 18:30:00+00:00,500.0,491.67464246808936
2026-06-26 19:30:00+00:00,500.0,490.5682105646934
2026-06-29 13:30:00+00:00,500.0,493.24366740329094
2026-06-29 14:30:00+00:00,500.0,494.158367534772
2026-06-29 15:30:00+00:00,500.0,495.25331828694715
2026-06-29 16:30:00+00:00,500.0,496.8905614153198
2026-06-29 17:30:00+00:00,500.0,496.93880526914063
2026-06-29 18:30:00+00:00,500.0,497.73422967343413
2026-06-29 19:30:00+00:00,500.0,498.09073773133105
2026-06-30 13:30:00+00:00,500.3330040279927,501.5262693023059
2026-06-30 14:30:00+00:00,500.2545087276997,501.57366352820407
2026-06-30 15:30:00+00:00,500.394793212563,502.49667362798397
2026-06-30 16:30:00+00:00,500.56513647428176,503.0229748245912
2026-06-30 17:30:00+00:00,500.4348715817036,502.89222032069074
2026-06-30 18:30:00+00:00,500.6285972897114,503.6024927325619
2026-06-30 19:30:00+00:00,500.46827362027784,502.828385926156
2026-07-01 13:30:00+00:00,500.83588776806505,502.28298047581467
2026-07-01 14:30:00+00:00,501.3987737543932,503.78108286240484
2026-07-01 15:30:00+00:00,500.9325114863268,502.93189651382875
2026-07-01 16:30:00+00:00,500.5737509882799,502.0958228305553
2026-07-01 17:30:00+00:00,500.0522671625963,501.03990099316985
2026-07-01 18:30:00+00:00,500.12363178661974,501.11168676508623
2026-07-01 19:30:00+00:00,499.3988736079088,499.6204020795619
2026-07-02 13:30:00+00:00,499.49443267498987,499.5489232081135
2026-07-02 14:30:00+00:00,499.09143877850545,496.1715983905038
2026-07-02 15:30:00+00:00,498.7673007284193,494.9742703244478
2026-07-02 16:30:00+00:00,498.7673007284193,493.51291411851787
2026-07-02 17:30:00+00:00,498.7673007284193,493.95316502075406
2026-07-02 18:30:00+00:00,498.7673007284193,493.27644121572087
2026-07-02 19:30:00+00:00,498.7673007284193,495.6142946700603
2026-07-06 13:30:00+00:00,498.7774789326933,500.17905923288856
2026-07-06 14:30:00+00:00,498.88653990681445,501.0428676814336
2026-07-06 15:30:00+00:00,498.8719118550566,501.09625269065236
2026-07-06 16:30:00+00:00,498.8785602315215,500.562286262915
2026-07-06 17:30:00+00:00,498.9623508809355,500.580179093857
2026-07-06 18:30:00+00:00,499.090025685623,501.14694542010767
2026-07-06 19:30:00+00:00,498.95968828327926,500.05178430244007
2026-07-07 13:30:00+00:00,498.3465602315215,494.0412479673928
2026-07-07 14:30:00+00:00,498.30253807575974,494.37297369896544
2026-07-07 15:30:00+00:00,498.62187120564255,496.47093177618535
2026-07-07 16:30:00+00:00,498.63118217976364,496.427166430906
2026-07-07 17:30:00+00:00,498.6511273091582,496.3646317595734
2026-07-07 18:30:00+00:00,498.3465602315215,493.91480114849054
2026-07-07 19:30:00+00:00,498.4795602315215,494.723918424851
2026-07-08 13:30:00+00:00,497.72752404170484,491.6117359704235
2026-07-08 14:30:00+00:00,497.72752404170484,488.41561750120803
2026-07-08 15:30:00+00:00,497.72752404170484,490.97248146002715
2026-07-08 16:30:00+00:00,497.72752404170484,493.0017264896903
2026-07-08 17:30:00+00:00,497.72752404170484,492.3414836629306
2026-07-08 18:30:00+00:00,497.72752404170484,492.7188322375323
2026-07-08 19:30:00+00:00,497.72752404170484,493.0650985186291
2026-07-09 13:30:00+00:00,497.72752404170484,497.3868820872689
2026-07-09 14:30:00+00:00,497.72752404170484,498.4051352108125
2026-07-09 15:30:00+00:00,497.72752404170484,498.7446924261576
2026-07-09 16:30:00+00:00,497.72752404170484,499.85471301664086
2026-07-09 17:30:00+00:00,497.72752404170484,499.44802394183466
2026-07-09 18:30:00+00:00,497.72752404170484,499.28137274232995
2026-07-09 19:30:00+00:00,497.72752404170484,499.33025044059525
2026-07-10 13:30:00+00:00,497.6493460967133,498.5075907655415
2026-07-10 14:30:00+00:00,497.7369701201508,498.89697069034435
2026-07-10 15:30:00+00:00,497.73169302054146,498.8789511652968
2026-07-10 16:30:00+00:00,497.8372914092133,499.6883520844369
2026-07-10 17:30:00+00:00,497.8927291533539,499.7942583928929
2026-07-10 18:30:00+00:00,497.96269302054145,499.9077692279623
2026-07-10 19:30:00+00:00,497.9547733428071,499.842877815392
2026-07-13 13:30:00+00:00,497.5368801514279,497.0297889129482
2026-07-13 14:30:00+00:00,497.4652335449826,496.65798794709696
2026-07-13 15:30:00+00:00,496.69255336920133,494.7922370312008
2026-07-13 16:30:00+00:00,496.48429763189665,494.40803440731895
2026-07-13 17:30:00+00:00,496.26691262213103,493.80903781193797
2026-07-13 18:30:00+00:00,495.95580906926733,493.2783079811758
2026-07-13 19:30:00+00:00,496.0508452020798,494.0038674714244
2026-07-14 13:30:00+00:00,496.1411342651898,496.1846347275897
2026-07-14 14:30:00+00:00,496.1411342651898,497.9443089497912
2026-07-14 15:30:00+00:00,496.1411342651898,496.86479357821213
2026-07-14 16:30:00+00:00,496.1411342651898,497.4310084606118
2026-07-14 17:30:00+00:00,496.1411342651898,497.58570985173316
2026-07-14 18:30:00+00:00,496.1411342651898,497.0461141244263
2026-07-14 19:30:00+00:00,496.1411342651898,497.00827593318604
2026-07-15 13:30:00+00:00,496.0426573440378,498.305649167158
2026-07-15 14:30:00+00:00,495.90969042509255,497.48391015417843
2026-07-15 15:30:00+00:00,495.54617022245577,495.0935859753022
2026-07-15 16:30:00+00:00,495.3413990156364,496.96708153707004
2026-07-15 17:30:00+00:00,495.3413990156364,498.01387472783074
2026-07-15 18:30:00+00:00,495.3413990156364,497.2353976032374
2026-07-15 19:30:00+00:00,495.3413990156364,497.92058972217865
2026-07-16 13:30:00+00:00,495.4017178903978,497.55921709912514
2026-07-16 14:30:00+00:00,495.32968548072984,496.790340127518
2026-07-16 15:30:00+00:00,495.0847001291673,495.15782882914095
2026-07-16 16:30:00+00:00,495.1862283274095,495.4095618434871
2026-07-16 17:30:00+00:00,494.95107757057355,494.5794600017774
2026-07-16 18:30:00+00:00,494.7139678903978,493.0466113469528
2026-07-16 19:30:00+00:00,494.50318969919795,494.3107554389172
2026-07-17 13:30:00+00:00,494.50318969919795,491.1673509404917
2026-07-17 14:30:00+00:00,494.50318969919795,489.7655960662129
2026-07-17 15:30:00+00:00,494.50318969919795,490.8711326634662
2026-07-17 16:30:00+00:00,494.50318969919795,492.4006901232233
2026-07-17 17:30:00+00:00,494.50318969919795,489.72809226584445
2026-07-17 18:30:00+00:00,494.50318969919795,489.1226476012911
2026-07-17 19:30:00+00:00,494.50318969919795,489.3298536273237
2026-07-20 13:30:00+00:00,494.50318969919795,491.4238650945788
2026-07-20 14:30:00+00:00,494.50318969919795,491.2887150625139
2026-07-20 15:30:00+00:00,494.50318969919795,491.8928015522338
2026-07-20 16:30:00+00:00,494.50318969919795,490.38708062638614
2026-07-20 17:30:00+00:00,494.50318969919795,490.52343438786096
2026-07-20 18:30:00+00:00,494.50318969919795,489.09421481565306
2026-07-20 19:30:00+00:00,494.50318969919795,488.2358887532703
2026-07-21 13:30:00+00:00,494.50318969919795,493.0429936596423
2026-07-21 14:30:00+00:00,494.50318969919795,494.1955132206639
2026-07-21 15:30:00+00:00,494.50318969919795,494.5957152169537
2026-07-21 16:30:00+00:00,494.50318969919795,494.62199860909686
2026-07-21 17:30:00+00:00,494.50318969919795,494.7415731515008
2026-07-21 18:30:00+00:00,494.50318969919795,494.5155578137204
2026-07-21 19:30:00+00:00,494.50318969919795,494.9313471682693
2026-07-22 13:30:00+00:00,494.50318969919795,493.3467427254678
2026-07-22 14:30:00+00:00,494.50318969919795,494.36849319336545
2026-07-22 15:30:00+00:00,494.50318969919795,494.3035783280235
2026-07-22 16:30:00+00:00,494.50318969919795,493.8585226994119
2026-07-22 17:30:00+00:00,494.50318969919795,493.2899920887496
2026-07-22 18:30:00+00:00,494.50318969919795,492.98904040170737
2026-07-22 19:30:00+00:00,494.50318969919795,492.3208919581972
2026-07-23 13:30:00+00:00,494.50318969919795,487.3820572441656
2026-07-23 14:30:00+00:00,494.50318969919795,484.1603890169537
2026-07-23 15:30:00+00:00,494.50318969919795,487.0330946520494
2026-07-23 16:30:00+00:00,494.50318969919795,486.34293028919535
2026-07-23 17:30:00+00:00,494.50318969919795,485.48208542636
2026-07-23 18:30:00+00:00,494.50318969919795,485.8108109874117
2026-07-23 19:30:00+00:00,494.50318969919795,486.2853699913287
2026-07-24 13:30:00+00:00,494.50318969919795,485.06550634683197
2026-07-24 14:30:00+00:00,494.50318969919795,487.6151915446312
2026-07-24 15:30:00+00:00,494.50318969919795,488.13831680176855
2026-07-24 16:30:00+00:00,494.50318969919795,487.1401813399772
2026-07-24 17:30:00+00:00,494.50318969919795,484.9564843598814
2026-07-24 18:30:00+00:00,494.50318969919795,483.759980926436
2026-07-24 19:30:00+00:00,494.50318969919795,484.2095827259851
2026-07-27 13:30:00+00:00,494.50318969919795,483.58552803150513
2026-07-27 14:30:00+00:00,494.50318969919795,483.5541969621629
2026-07-27 15:30:00+00:00,494.50318969919795,484.3077613724387
2026-07-27 16:30:00+00:00,494.50318969919795,482.3342809481211
2026-07-27 17:30:00+00:00,494.50318969919795,483.40376684106093
2026-07-27 18:30:00+00:00,494.50318969919795,485.3224448959473
2026-07-27 19:30:00+00:00,494.50318969919795,484.7467220766881
2026-07-28 13:30:00+00:00,494.50318969919795,480.557991396916
2026-07-28 14:30:00+00:00,494.50318969919795,484.1957052263636
2026-07-28 15:30:00+00:00,494.50318969919795,484.1719571438753
2026-07-28 16:30:00+00:00,494.50318969919795,484.35811934650496
2026-07-28 17:30:00+00:00,494.50318969919795,483.5331374020509
2026-07-28 18:30:00+00:00,494.50318969919795,484.72532087344723
2026-07-28 19:30:00+00:00,494.50318969919795,483.8911029384088
2026-07-29 13:30:00+00:00,494.50318969919795,478.748787087614
2026-07-29 14:30:00+00:00,494.50318969919795,478.29555396289356
2026-07-29 15:30:00+00:00,494.50318969919795,477.976767094922
2026-07-29 16:30:00+00:00,494.50318969919795,479.1829009635911
2026-07-29 17:30:00+00:00,494.50318969919795,480.8891333120364
2026-07-29 18:30:00+00:00,494.50318969919795,480.0262756286603
2026-07-29 19:30:00+00:00,494.50318969919795,475.5608999801544
2026-07-30 13:30:00+00:00,494.50318969919795,483.6816462251711
